Game_Id,Game_Name,Tags,Month,Avg. Players,Gain,% Gain,Peak Players,Date,Hours_watched,Hours_streamed,Peak_viewers,Streamers
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Dec-22,629325.0,8319,1.34%,1065079,12/2022,31315331.0,682014.0,280430.0,105795.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Nov-22,621005.99,12656.46,2.08%,1129095,11/2022,86942107.0,666047.0,1313814.0,106614.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Oct-22,608349.53,-10426.5,-1.69%,1078860,10/2022,56602588.0,762067.0,681874.0,110356.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Sep-22,618776.04,-22668.74,-3.53%,1100366,09/2022,58486237.0,797252.0,454739.0,119721.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Aug-22,641444.78,46991.71,7.91%,1039889,08/2022,42556325.0,876860.0,313850.0,133460.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jul-22,594453.07,22230.6,3.88%,928329,07/2022,51096287.0,848961.0,1153750.0,130195.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jun-22,572222.47,7260.76,1.29%,906670,06/2022,56442633.0,840093.0,534107.0,125497.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",May-22,564961.7,-4021.46,-0.71%,923996,05/2022,93930915.0,845157.0,1687805.0,121653.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Apr-22,568983.16,-12506.53,-2.15%,1013237,04/2022,59002939.0,802622.0,441386.0,122078.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Mar-22,581489.69,-53148.71,-8.37%,987993,03/2022,55974322.0,864927.0,360389.0,133185.0
