Topic,Topic_Name,Probability
1,1_survival_livonia_survivor_year,[1.23817353e-307 1.00000000e+000 5.83877990e-308 8.43790360e-309]
-1,-1_player_server_issue_animation,[0.30546339 0.02624955 0.04870549 0.01769046]
-1,-1_player_server_issue_animation,[0.12916517 0.19355064 0.06638503 0.00861295]
1,1_survival_livonia_survivor_year,[0.20410941 0.30638735 0.08124595 0.01431566]
-1,-1_player_server_issue_animation,[0.40437151 0.0344877  0.05696504 0.02608059]
1,1_survival_livonia_survivor_year,[9.27928281e-308 1.00000000e+000 3.24433834e-308 6.76268844e-309]
-1,-1_player_server_issue_animation,[0.31719186 0.03080163 0.05173855 0.02035299]
-1,-1_player_server_issue_animation,[0.30683679 0.02584601 0.04751641 0.01790969]
1,1_survival_livonia_survivor_year,[9.27995686e-308 1.00000000e+000 3.24639529e-308 6.76251475e-309]
2,2_server_branch_experimental_stable,[2.04803734e-307 8.39661564e-308 1.00000000e+000 1.19422622e-308]
-1,-1_player_server_issue_animation,[0.30169023 0.02683404 0.0528002  0.01678443]
0,0_player_animation_server_issue,[0.8553984  0.02002817 0.03060953 0.03024665]
1,1_survival_livonia_survivor_year,[0.21615985 0.51002927 0.16304184 0.01312479]
0,0_player_animation_server_issue,[0.71818561 0.0210111  0.03188886 0.03235797]
0,0_player_animation_server_issue,[0.62677892 0.02188103 0.03314092 0.03365277]
-1,-1_player_server_issue_animation,[0.30181201 0.02700198 0.05224164 0.01705325]
0,0_player_animation_server_issue,[0.69205788 0.02363676 0.03612919 0.03517011]
1,1_survival_livonia_survivor_year,[0.1712886  0.27837516 0.06347955 0.01226401]
1,1_survival_livonia_survivor_year,[0.23633243 0.44296561 0.21715917 0.0146913 ]
1,1_survival_livonia_survivor_year,[1.19822640e-307 1.00000000e+000 5.42573123e-308 8.26479821e-309]
-1,-1_player_server_issue_animation,[0.12398984 0.06813958 0.05794864 0.00843079]
-1,-1_player_server_issue_animation,[0.24716102 0.01730103 0.02927866 0.0151204 ]
-1,-1_player_server_issue_animation,[0.39420158 0.01967926 0.03135682 0.02259974]
-1,-1_player_server_issue_animation,[0.09629251 0.20192433 0.04256365 0.00677553]
-1,-1_player_server_issue_animation,[0.28108711 0.01468195 0.02064214 0.21585907]
0,0_player_animation_server_issue,[0.86168028 0.03041747 0.0458036  0.04338497]
1,1_survival_livonia_survivor_year,[0.19394048 0.31835053 0.07521433 0.01371461]
2,2_server_branch_experimental_stable,[2.04287192e-307 6.55878951e-308 1.00000000e+000 1.22086159e-308]
1,1_survival_livonia_survivor_year,[9.26468119e-308 1.00000000e+000 3.21452576e-308 6.76649546e-309]
1,1_survival_livonia_survivor_year,[0.16671506 0.27122505 0.06139759 0.01195956]
3,3_infected_military_player_server,[0.2929121  0.01561853 0.02196532 0.23306897]
-1,-1_player_server_issue_animation,[0.3274102  0.01931774 0.0316022  0.01977874]
-1,-1_player_server_issue_animation,[0.1835795  0.03539363 0.08718588 0.00919216]
1,1_survival_livonia_survivor_year,[0.11874122 0.7864951  0.08719023 0.00757345]
-1,-1_player_server_issue_animation,[0.11271498 0.20527567 0.08559422 0.00683456]
0,0_player_animation_server_issue,[1.00000000e+000 2.34552039e-308 3.59544175e-308 3.64106136e-308]
-1,-1_player_server_issue_animation,[0.35189077 0.02853137 0.04300727 0.02273695]
1,1_survival_livonia_survivor_year,[1.61216716e-307 1.00000000e+000 1.19003389e-307 1.01526161e-308]
-1,-1_player_server_issue_animation,[0.18020573 0.3365774  0.0796447  0.01273426]
1,1_survival_livonia_survivor_year,[0.34329087 0.34225243 0.18022348 0.0228014 ]
1,1_survival_livonia_survivor_year,[0.13818992 0.7513015  0.10170555 0.00880303]
1,1_survival_livonia_survivor_year,[0.04431603 0.78685693 0.01549617 0.00322942]
