Topic,Topic_Name,Probability
-1,-1_player_fixed_map_item,[9.29575037e-01 6.98849781e-04 2.62714972e-02 2.14576153e-03]
0,0_fixed_player_map_change,[6.71709174e-01 5.78606267e-04 2.78527834e-02 1.99556138e-03]
-1,-1_player_fixed_map_item,[9.43279339e-01 5.89047641e-04 2.36411097e-02 1.86147360e-03]
0,0_fixed_player_map_change,[0.59672394 0.00060762 0.02329127 0.00286549]
-1,-1_player_fixed_map_item,[7.76458794e-01 5.47132678e-04 2.35536769e-02 2.05951070e-03]
-1,-1_player_fixed_map_item,[9.52118247e-01 7.00959339e-04 2.61178609e-02 2.15673468e-03]
-1,-1_player_fixed_map_item,[8.90079207e-01 5.37204422e-04 2.13849909e-02 1.74319604e-03]
-1,-1_player_fixed_map_item,[4.51053832e-01 2.81819211e-04 1.53616783e-02 1.07582190e-03]
-1,-1_player_fixed_map_item,[2.98035885e-01 1.86963073e-04 7.98004843e-03 6.55134919e-04]
0,0_fixed_player_map_change,[9.21044441e-01 7.19960452e-04 2.72452370e-02 3.19990164e-03]
-1,-1_player_fixed_map_item,[8.69967127e-01 6.33937010e-04 2.57803508e-02 2.05816113e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.15002974e-308 2.00826361e-306 1.88953737e-307]
-1,-1_player_fixed_map_item,[7.02412086e-01 3.92762116e-04 1.84507430e-02 1.24499392e-03]
-1,-1_player_fixed_map_item,[6.15259783e-01 4.41498591e-04 1.70299741e-02 1.51484890e-03]
-1,-1_player_fixed_map_item,[9.41925395e-01 6.21579995e-04 2.76217220e-02 2.02106152e-03]
0,0_fixed_player_map_change,[9.41594336e-01 8.32549748e-04 3.11865181e-02 4.11120664e-03]
-1,-1_player_fixed_map_item,[9.15018497e-01 6.31427188e-04 2.46796720e-02 2.15932849e-03]
-1,-1_player_fixed_map_item,[7.16388364e-01 4.51122175e-04 1.99930605e-02 1.45165940e-03]
0,0_fixed_player_map_change,[4.94222765e-01 3.98195278e-04 1.50708261e-02 1.32081066e-03]
-1,-1_player_fixed_map_item,[8.57861625e-01 5.03655235e-04 2.13172096e-02 1.62487012e-03]
-1,-1_player_fixed_map_item,[6.26420499e-01 4.10048081e-04 1.63633951e-02 1.30554624e-03]
-1,-1_player_fixed_map_item,[9.01190356e-01 6.45597110e-04 2.39693517e-02 2.09371703e-03]
-1,-1_player_fixed_map_item,[8.15485696e-01 5.60878383e-04 2.37845716e-02 1.92445194e-03]
-1,-1_player_fixed_map_item,[6.00361130e-01 4.30797081e-04 1.66141535e-02 1.45701970e-03]
0,0_fixed_player_map_change,[4.64202167e-01 3.73145540e-04 1.41735382e-02 1.24514038e-03]
0,0_fixed_player_map_change,[8.18496084e-01 6.04461768e-04 2.13548727e-02 2.01723720e-03]
0,0_fixed_player_map_change,[0.55431241 0.00056276 0.02109261 0.00270436]
0,0_fixed_player_map_change,[4.67238373e-01 3.77539575e-04 1.40762579e-02 1.25641607e-03]
0,0_fixed_player_map_change,[4.90373772e-01 3.78743280e-04 1.45277284e-02 1.26292041e-03]
0,0_fixed_player_map_change,[4.65807925e-01 3.70896574e-04 1.39298686e-02 1.24167610e-03]
0,0_fixed_player_map_change,[8.19279484e-01 7.69860768e-04 2.88024604e-02 3.75162039e-03]
0,0_fixed_player_map_change,[4.91536565e-01 3.81730867e-04 1.44881955e-02 1.26935124e-03]
-1,-1_player_fixed_map_item,[9.09659509e-01 5.29538443e-04 2.19597595e-02 1.69246680e-03]
0,0_fixed_player_map_change,[4.91700743e-01 3.72848261e-04 1.43689332e-02 1.23331881e-03]
0,0_fixed_player_map_change,[1.00000000e+000 5.29931140e-308 1.93980607e-306 2.76068151e-307]
-1,-1_player_fixed_map_item,[8.61224719e-01 4.89760185e-04 2.05723754e-02 1.54674638e-03]
-1,-1_player_fixed_map_item,[7.34082747e-01 5.20258590e-04 2.22963707e-02 1.95476484e-03]
-1,-1_player_fixed_map_item,[9.54612341e-01 6.71099023e-04 2.65228976e-02 2.20057309e-03]
0,0_fixed_player_map_change,[6.88005097e-01 5.19472046e-04 2.03779328e-02 1.81741068e-03]
0,0_fixed_player_map_change,[7.86376361e-01 6.55747533e-04 2.42085325e-02 2.89912562e-03]
-1,-1_player_fixed_map_item,[9.52628914e-01 6.81579462e-04 2.56142137e-02 2.16909488e-03]
-1,-1_player_fixed_map_item,[8.74738285e-01 6.20215676e-04 2.35037414e-02 1.99589798e-03]
-1,-1_player_fixed_map_item,[8.05270823e-01 4.69842612e-04 2.02308764e-02 1.45438530e-03]
0,0_fixed_player_map_change,[9.73199813e-01 6.26641903e-04 2.29970309e-02 3.17651383e-03]
-1,-1_player_fixed_map_item,[8.36240873e-01 5.01153770e-04 2.23108156e-02 1.61318539e-03]
0,0_fixed_player_map_change,[5.18143740e-01 4.29824834e-04 1.46253930e-02 1.38404614e-03]
-1,-1_player_fixed_map_item,[9.45283143e-01 6.68091746e-04 2.51318223e-02 2.12613528e-03]
-1,-1_player_fixed_map_item,[8.17067856e-01 4.84716263e-04 2.08909286e-02 1.50320759e-03]
-1,-1_player_fixed_map_item,[7.38769215e-01 5.23772450e-04 2.24738815e-02 1.97197663e-03]
-1,-1_player_fixed_map_item,[8.55971273e-01 4.91910716e-04 2.14177322e-02 1.55175996e-03]
-1,-1_player_fixed_map_item,[8.90426518e-01 6.73404231e-04 2.49356510e-02 2.03168042e-03]
0,0_fixed_player_map_change,[5.22150584e-01 4.30888192e-04 1.53452186e-02 1.41065704e-03]
