Topic,Probability
1,[2.140463e-309 1.000000e+000]
1,[0.03117471 0.96882529]
1,[0.11189064 0.63339666]
1,[0.02159469 0.97840531]
1,[1.63771072e-309 1.00000000e+000]
1,[1.63716791e-309 1.00000000e+000]
1,[0.107057   0.78685481]
1,[0.08721901 0.91278099]
1,[0.08735177 0.91264823]
1,[0.08811208 0.91188792]
1,[0.09032553 0.90967447]
1,[0.01838978 0.98161022]
1,[1.12912091e-309 1.00000000e+000]
1,[0.05544398 0.94455602]
1,[3.12042768e-309 1.00000000e+000]
1,[3.08354093e-309 1.00000000e+000]
1,[1.16191505e-309 1.00000000e+000]
1,[0.02940438 0.97059562]
1,[0.03199077 0.96800923]
1,[0.01711761 0.98288239]
1,[3.37371354e-309 1.00000000e+000]
1,[0.02676978 0.97323022]
1,[9.56398877e-310 1.00000000e+000]
1,[0.15902509 0.84097491]
1,[0.1584039 0.8415961]
